obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""208.74107""","=""""","=""3.26e+04""","=""2.13e-05""","=""7.31e-04""","=""-3.973""",E,"=""0.7809579""","=""6.7205746""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""2""",5,5,,"=""T8363c22,T5071""","=""""",
"=""""","=""208.82750""","=""""","=""5.46e+05""","=""2.14e-04""","=""7.37e-03""","=""-2.971""",E,"=""0.7809579""","=""6.7181165""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""1""",5,3,,"=""T8363c22,T5071""","=""""",
"=""210.388""","=""""","=""30w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""211.530""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""212.36615""","=""""","=""3.57e+07""","=""1.45e-02""","=""5.06e-01""","=""-1.140""",B,"=""0.7809579""","=""6.6191858""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""1P*""","=""1""",5,3,,"=""T5814""","=""""",
"=""212.479""","=""212.4794""","=""100""","=""2.97e+08""","=""2.82e-01""","=""9.86e+00""","=""0.149""",B,"=""0.7809579""","=""6.616075""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""1F*""","=""3""",5,7,,"=""T5814""","=""L3521""",
"=""214.859""","=""""","=""50w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""220.78160""","=""""","=""4.68e-03""","=""1.71e-11""","=""8.24e+01""","=""-10.77""",D,"=""0.0000000""","=""5.6156943""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""3D*""","=""2""",1,5,M2,"=""c22""","=""""",
"=""220.867""","=""220.86665""","=""110""","=""2.62e+07""","=""5.75e-02""","=""4.18e-01""","=""-1.240""",B,"=""0.0000000""","=""5.6135319""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""3D*""","=""1""",1,3,,"=""T5814""","=""L3521""",
"=""""","=""221.02020""","=""""","=""4.58e-03""","=""7.83e-12""","=""1.14e+02""","=""-10.63""",D,"=""0.0095610""","=""5.6191930""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""3""",3,7,M2,"=""c22""","=""""",
"=""221.158""","=""221.15814""","=""115""","=""3.46e+07""","=""4.23e-02""","=""9.23e-01""","=""-0.897""",B,"=""0.0095610""","=""5.6156943""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""2""",3,5,,"=""T5814""","=""L3521""",
"=""221.243""","=""221.24348""","=""110""","=""1.81e+07""","=""1.33e-02""","=""2.90e-01""","=""-1.399""",B,"=""0.0095610""","=""5.6135319""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""1""",3,3,,"=""T5814""","=""L3521""",
