Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3s2.3p3.(2P*).9d""","=""3P*""","=""2""",4,"=""""","=""106614""","=""u""","=""12""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).10d""","=""3P*""","=""2""",4,"=""""","=""106930""","=""u""","=""13""","=""""","=""  74                             :    13  3s2.3p3.(2P*).10d 3D*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).10d""","=""3P*""","=""1""",2,"=""""","=""106930""","=""u""","=""24""","=""""","=""  69                             :    12  3s2.3p3.(2P*).12s 1P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).11d""","=""3P*""","=""2""",4,"=""""","=""107120""","=""u""","=""14""","=""""","=""  74                             :    16  3s2.3p3.(2P*).11d 3D*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).11d""","=""3P*""","=""1""",2,"=""""","=""107120""","=""u""","=""17""","=""""","=""  78                             :     5  3s2.3p3.(2P*).10d 3P*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).12d""","=""3P*+3D*""","=""""",24,"=""""","=""107287""","=""""","=""13""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).13d""","=""3P*+3D*""","=""""",24,"=""""","=""107401""","=""""","=""13""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).14d""","=""3P*+3D*""","=""""",24,"=""""","=""107513""","=""""","=""13""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).15d""","=""3P*+3D*""","=""""",24,"=""""","=""107584""","=""""","=""13""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2P*).16d""","=""3P*+3D*""","=""""",24,"=""""","=""107645""","=""""","=""13""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""S II (3p3 2P*<1/2>)""","=""Limit""","=""---""",,"=""""","=""108084.04""","=""""","=""0.09""","=""""","=""                                                                 ""","=""L23116"""
"=""S II (3p3 2P*<3/2>)""","=""Limit""","=""---""",,"=""""","=""108130.73""","=""""","=""0.07""","=""""","=""                                                                 ""","=""L23116"""
