obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""951.02601""","=""0.00003""","=""951.026011""","=""0.000005""","=""330""","=""""","=""""","=""""","=""""",,"=""1.622774763""","=""2.926463589""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
"=""951.35550""","=""0.00005""","=""951.355478""","=""0.000008""","=""100""","=""""","=""""","=""""","=""""",,"=""2.212755599""","=""3.515992941""","=""5f.6d.7s2""","=""3P*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
"=""953.90224""","=""0.00004""","=""953.902244""","=""0.000014""","=""150""","=""""","=""""","=""""","=""""",,"=""2.307883790""","=""3.607641697""","=""6d2.7s.7p""","=""5D*""","=""1""","=""""","=""""","=""1""",3,3,,"=""""","=""L5951""",
"=""955.06489""","=""0.00003""","=""955.064882""","=""0.000012""","=""290""","=""""","=""""","=""""","=""""",,"=""2.169869268""","=""3.468044929""","=""5f.6d2.7s""","=""5I*""","=""5""","=""6d4""","=""3H""","=""6""",11,13,,"=""""","=""L5951""",
"=""955.66049""","=""0.00003""","=""955.660507""","=""0.000015""","=""270""","=""""","=""""","=""""","=""""",,"=""2.549936368""","=""3.84730293""","=""6d2.7s.7p""","=""5D*""","=""4""","=""6d4""","=""3G""","=""5""",9,11,,"=""""","=""L5951""",
"=""956.22306""","=""0.00009""","=""956.222896""","=""0.000006""","=""43""","=""""","=""""","=""""","=""""",,"=""1.761433209""","=""3.058036741""","=""5f.6d.7s2""","=""3F*""","=""4""","=""5f.6d.7s.7p""","=""5F""","=""3""",9,7,,"=""""","=""L5951""",
"=""956.25447""","=""0.00010""","=""956.25448""","=""0.00003""","=""37""","=""""","=""""","=""""","=""""",,"=""2.318457821""","=""3.61501853""","=""5f.7s2.7p""","=""3F""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L5951""",
"=""956.28511""","=""0.00009""","=""956.285152""","=""0.000016""","=""43""","=""""","=""""","=""""","=""""",,"=""2.769682369""","=""4.06620149""","=""5f.6d2.7s""","=""5G*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
"=""956.386725""","=""0.000004""","=""956.386725""","=""0.000004""","=""4500""","=""""","=""""","=""""","=""""",,"=""1.022076397""","=""2.318457821""","=""5f.6d.7s2""","=""3F*""","=""2""","=""5f.7s2.7p""","=""3F""","=""2""",5,5,,"=""""","=""L18702""",
"=""956.81821""","=""0.00004""","=""956.818228""","=""0.000017""","=""150""","=""""","=""""","=""""","=""""",,"=""2.865714673""","=""4.16151146""","=""5f.6d2.7s""","=""5G*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L5951""",
"=""956.99043""","=""0.00004""","=""956.990412""","=""0.000005""","=""170""","=""""","=""""","=""""","=""""",,"=""2.026726250""","=""3.322289894""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L5951""",
"=""957.04531""","=""0.00003""","=""957.045278""","=""0.000009""","=""250""","=""""","=""""","=""""","=""""",,"=""1.388254945""","=""2.683744315""","=""5f.6d.7s2""","=""3H*""","=""5""","=""6d3.(2G).7s""","=""""","=""4""",11,9,,"=""""","=""L5951""",
"=""957.30268""","=""0.00005""","=""957.302661""","=""0.000005""","=""91""","=""""","=""""","=""""","=""""",,"=""1.463377110""","=""2.758518172""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L5951""",
"=""957.41268""","=""0.00005""","=""957.412676""","=""0.000018""","=""82""","=""""","=""""","=""""","=""""",,"=""2.419797174""","=""3.71478941""","=""6d2.7s.7p""","=""5D*""","=""2""","=""""","=""""","=""1""",5,3,,"=""""","=""L5951""",
"=""958.544126""","=""0.000011""","=""958.544123""","=""0.000005""","=""1100""","=""""","=""""","=""""","=""""",,"=""1.622774763""","=""2.916238418""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L5951""",
"=""958.96566""","=""0.00004""","=""958.965661""","=""0.000009""","=""200""","=""""","=""""","=""""","=""""",,"=""1.766030147""","=""3.058925227""","=""5f.6d.7s2""","=""3P*""","=""1""","=""6d3.(2D1).7s""","=""3D""","=""2""",3,5,,"=""""","=""L5951""",
