obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""""","=""1097.6383""","=""""","=""9.5e+05""","=""1.1e-02""","=""2.5e+00""","=""-1.16""",E,"=""6.9852271""","=""8.1147813""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",6,4,,"=""T1619CA,LS""","=""""",
"=""1116.311""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""1118.629""","=""""","=""764""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""1118.981""","=""""","=""402""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""1344.210""","=""""","=""76""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""1348.888""","=""""","=""86""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""""","=""1353.731""","=""""","=""3.41e-02""","=""9.37e-10""","=""1.25e-02""","=""-8.426""",C,"=""1.408587""","=""2.324457""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",4,4,M1,"=""T761""","=""""",
"=""""","=""1353.731""","=""""","=""4.05e-02""","=""1.11e-09""","=""6.58e+01""","=""-8.352""",C,"=""1.408587""","=""2.324457""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",4,4,E2,"=""T761""","=""""",
"=""""","=""1356.598""","=""""","=""1.90e-02""","=""3.49e-10""","=""7.03e-03""","=""-8.678""",C,"=""1.410522""","=""2.324457""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""3/2""",6,4,M1,"=""T761""","=""""",
"=""""","=""1356.598""","=""""","=""9.4e-02""","=""1.7e-09""","=""1.5e+02""","=""-7.98""",C,"=""1.410522""","=""2.324457""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""3/2""",6,4,E2,"=""T761""","=""""",
"=""""","=""1358.384""","=""""","=""2.11e-02""","=""2.92e-10""","=""3.92e-03""","=""-8.933""",C,"=""1.408587""","=""2.321320""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",4,2,M1,"=""T761""","=""""",
"=""""","=""1358.384""","=""""","=""8.0e-02""","=""1.1e-09""","=""6.6e+01""","=""-8.35""",C,"=""1.408587""","=""2.321320""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",4,2,E2,"=""T761""","=""""",
"=""""","=""1361.270""","=""""","=""5.3e-02""","=""4.9e-10""","=""4.4e+01""","=""-8.53""",C,"=""1.410522""","=""2.321320""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""1/2""",6,2,E2,"=""T761""","=""""",
"=""1424.553""","=""""","=""479""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""1427.665""","=""""","=""150""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
