obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""787.925""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""789.860""","=""0.005""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""800.733""","=""0.005""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""802.146""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""817.9558""","=""0.0020""","=""817.9567""","=""0.0019""","=""6""","=""""","=""""","=""""","=""""",,"=""2.56840882""","=""4.084188""","=""7s.7p""","=""1P*""","=""1""","=""7p2?""","=""3P""","=""2""",3,5,,"=""""","=""L3527""",
"=""825.097""","=""0.005""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""827.130""","=""0.005""","=""""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""833.736""","=""0.005""","=""""","=""""","=""5""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""869.633""","=""0.005""","=""869.630""","=""0.004""","=""4""","=""""","=""""","=""""","=""""",,"=""2.56840882""","=""3.994121""","=""7s.7p""","=""1P*""","=""1""","=""7p2?""","=""1D""","=""2""",3,5,,"=""""","=""L3527""",
"=""909.730""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
"=""993.493""","=""0.005""","=""993.495""","=""0.004""","=""5""","=""2.5e+07""","=""2.3e-01""","=""3.7e+01""","=""0.05""",C+,"=""2.069115""","=""3.317076""","=""7s.7p""","=""3P*""","=""2""","=""7s.8s""","=""3S""","=""1""",5,3,,"=""T8002""","=""L3527""",
"=""1428.604""","=""0.004""","=""1428.605""","=""0.004""","=""""","=""3.3e+04""","=""1.0e-03""","=""1.4e-01""","=""-2.52""",D+,"=""1.7005399""","=""2.56840882""","=""7s.6d""","=""3D""","=""1""","=""7s.7p""","=""1P*""","=""1""",3,3,,"=""T8091""","=""L12202""",
"=""""","=""""","=""3244.70""","=""0.07""","=""""","=""2.5e+03""","=""6.5e-04""","=""2.08e-01""","=""-2.71""",C+,"=""1.73569904""","=""2.117813""","=""7s.7p""","=""3P*""","=""1""","=""7s.6d""","=""1D""","=""2""",3,5,,"=""T8693""","=""""",
